UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,,
B024L032,SOMA3,"STO. TOMAS, BATANGAS",1,A,4,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Jul-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L033,SOMA3,"STO. TOMAS, BATANGAS",1,A,4,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Jul-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L053,SOMA3,"STO. TOMAS, BATANGAS",1,A,4,CALISTA MID,50,40,"2,506,132.00",,"2,506,132.00",Jun-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B037L006,SOMA3,EDITIONS BATULAO VOL.2 EAST,1,,1,LOT ONLY,135,,"3,537,069.00","353,707","3,183,362",Feb-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B037L021,SOMA3,EDITIONS BATULAO VOL.2 EAST,1,,1,LOT ONLY,134,,"3,510,816","351,087.00","3,159,729.00",Feb-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B040L004,SOMA3,EDITIONS BATULAO VOL.2 EAST,1,,1,LOT ONLY,142,,"3,720,446.00","372,048.00","3,348,398.00",Feb-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B042L002,SOMA3,EDITIONS BATULAO VOL.2 EAST,1,,1,LOT ONLY,109,,"2,855,769.00","285,586.00","2,570,183.00",Feb-2027,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B004L009,SOMA3,EDITIONS BATULAO VOL.2W,1,-,4,CHRISTIE,132,90,"7,690,205.00","769,029","6,921,176.00",May-2029,0%,REOPEN,RSBS WITHIN THE MONTH,YELLOW TAG,,,
B001L037,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L038,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L039,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L040,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L041,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L042,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L046,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L047,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L049,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L051,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461",,"1,348,461",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L052,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461.00",,"1,348,461.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L053,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461",,"1,348,461",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L054,SOMA3,SIGHTS BATANGAS,1,,1,ALORA END,62,30,"1,683,937.00",,"1,683,937",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B001L056,SOMA3,SIGHTS BATANGAS,1,,1,ALORA MID,45,30,"1,348,461",,"1,348,461",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
